encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
05/12/2020 03:30:02 PM,X039-ZN11,X-15A,Bronx,30,true,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/12/2020 03:05:32 PM,Q092,Q-10,Queens,5,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/12/2020 02:26:57 PM,X042,X-06,Bronx,8,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/12/2020 02:25:56 PM,X010A,X-06,Bronx,10,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/12/2020 11:33:57 AM,M045,M-08,Manhattan,15,false,Approached the crowd; they complied with instructions,Handall court
05/12/2020 10:02:34 AM,X147A-ZN01,X-14,Bronx,30,false,Approached the crowd; they ignored the employee,Baseball field
05/10/2020 03:22:16 PM,Q099,Q-15,Queens,40,true,Approached the crowd; they complied with instructions,Open field/multi-purpose play area
05/10/2020 02:42:38 PM,Q099,Q-15,Queens,100,true,Approached the crowd; they complied with instructions,Open field/multi-purpose play area
05/10/2020 01:55:03 PM,X039-ZN04,X-15,Bronx,55,false,Approached the crowd; they ignored the employee,Open field/multi-purpose play area
05/10/2020 12:17:48 PM,Q099,Q-15,Queens,10,true,Approached the crowd; they complied with instructions,Open field/multi-purpose play area
05/10/2020 11:51:57 AM,X002-ZN03,X-14,Bronx,75,false,Approached the crowd; they ignored the employee,Baseball field
05/10/2020 09:44:44 AM,Q001,Q-07A,Queens,30,false,Approached the crowd; they complied with instructions,Open field/multi-purpose play area
05/10/2020 09:00:35 AM,Q004,Q-01,Queens,60,false,Did not approach the crowd; the crowd remains,Track/field area
05/10/2020 08:56:44 AM,X147A-ZN01,X-14,Bronx,75,false,Approached the crowd; they ignored the employee,Baseball field
05/10/2020 08:13:03 AM,Q471,Q-02,Queens,20,false,Did not approach the crowd; the crowd remains,Walking path
05/09/2020 03:51:21 PM,M011,M-04,Manhattan,12,false,Did not approach the crowd; the crowd remains,Basketball court
05/09/2020 01:56:32 PM,R046-07,R-02B,Staten Island,3,true,Did not approach the crowd; the crowd remains,Skate Park
05/09/2020 01:30:15 PM,X092-ZN02,X-13,Bronx,9,false,Approached the crowd; they complied with instructions,Handall court
05/09/2020 01:26:14 PM,X092-ZN10,X-13,Bronx,30,false,Did not approach the crowd; the crowd remains,Bench/sitting area
05/09/2020 10:57:47 AM,M017,M-03,Manhattan,9,false,Approached the crowd; they ignored the employee,Soccer field
05/09/2020 10:55:37 AM,X047,X-04,Bronx,16,false,Approached the crowd; they ignored the employee,Walking path
05/09/2020 10:04:07 AM,M144-ZN03,M-03,Manhattan,10,false,Approached the crowd; they ignored the employee,Baseball field
05/09/2020 10:03:29 AM,M144-ZN04,M-03,Manhattan,14,false,Approached the crowd; they ignored the employee,Baseball field
05/07/2020 07:02:17 PM,Q099-ZN17,Q-15,Queens,37,false,Did not approach the crowd; the crowd remains,Soccer field
05/07/2020 06:22:26 PM,Q205A,Q-02,Queens,40,true,Approached the crowd; they ignored the employee,Soccer field
05/07/2020 06:20:59 PM,Q066F,Q-01,Queens,25,true,Approached the crowd; they ignored the employee,Handall court
05/07/2020 05:33:12 PM,Q108,Q-13,Queens,15,true,Approached the crowd; they ignored the employee,Skate Park
05/07/2020 05:30:23 PM,Q008-01,Q-13,Queens,18,true,Approached the crowd; they ignored the employee,Adult fitness equipment
05/07/2020 04:44:26 PM,Q007,Q-14,Queens,25,false,Approached the crowd; they ignored the employee,Skate Park
05/07/2020 04:13:28 PM,Q163-ZN05A,Q-14,Queens,6,false,Approached the crowd; they complied with instructions,Handall court
05/07/2020 04:11:23 PM,Q001-04,Q-07A,Queens,6,true,Approached the crowd; they complied with instructions,Handall court
05/07/2020 04:11:16 PM,Q001-04,Q-07A,Queens,6,true,Approached the crowd; they complied with instructions,Handall court
05/07/2020 04:11:00 PM,Q001-04,Q-07A,Queens,6,true,Approached the crowd; they complied with instructions,Handall court
05/07/2020 03:43:52 PM,Q021-ZN04,Q-08,Queens,17,false,Did not approach the crowd; the crowd remains,Baseball field
05/07/2020 03:12:23 PM,Q020-01,Q-05A,Queens,10,false,Did not approach the crowd; the crowd remains,Baseball field
05/07/2020 02:16:55 PM,R015,R-01,Staten Island,4,false,Did not approach the crowd; the crowd remains,Tennis courts
05/07/2020 01:40:16 PM,M045,M-08,Manhattan,20,false,Approached the crowd; they complied with instructions,Handall court
05/07/2020 11:43:48 AM,Q205A,Q-02,Queens,2,false,Approached the crowd; they ignored the employee,Handall court
05/07/2020 10:01:51 AM,Q099-ZN15,Q-15,Queens,24,false,Did not approach the crowd; the crowd remains,Soccer field
05/07/2020 08:14:28 AM,M058-01,M-11,Manhattan,7,true,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/06/2020 03:13:49 PM,B087-01,B-07,Brooklyn,2,true,Approached the crowd; they ignored the employee,Handall court
05/06/2020 12:56:06 PM,M144-ZN04,M-03,Manhattan,8,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/06/2020 12:52:18 PM,Q099-ZN15,Q-15,Queens,15,false,Approached the crowd; they ignored the employee,Soccer field
05/06/2020 12:30:12 PM,R038,R-02B,Staten Island,3,true,Did not approach the crowd; the crowd remains,Playground
05/06/2020 09:49:40 AM,M058-01,M-11,Manhattan,10,true,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/06/2020 08:23:56 AM,Q099-ZN15,Q-15,Queens,15,false,Did not approach the crowd; the crowd remains,Soccer field
05/05/2020 07:33:19 PM,Q021C,Q-11,Queens,8,true,Did not approach the crowd; the crowd remains,Baseball field
05/05/2020 07:05:07 PM,Q099-ZN17,Q-15,Queens,57,false,Did not approach the crowd; the crowd remains,Soccer field
05/05/2020 05:39:56 PM,Q020,Q-05A,Queens,18,false,Did not approach the crowd; the crowd remains,Soccer field
05/05/2020 05:25:35 PM,M144-ZN05,M-03,Manhattan,14,false,Approached the crowd; they ignored the employee,Soccer field
05/05/2020 05:24:46 PM,M144-ZN02,M-03,Manhattan,7,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/05/2020 05:23:49 PM,M144-01,M-03,Manhattan,15,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/05/2020 03:18:35 PM,Q300-05,Q-07,Queens,20,true,Approached the crowd; they ignored the employee,Playground
05/05/2020 02:51:49 PM,Q007,Q-14,Queens,5,false,Approached the crowd; they ignored the employee,Skate Park
05/05/2020 02:07:10 PM,Q099-ZN12,Q-15,Queens,25,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/05/2020 01:59:47 PM,B073-ZN08,B-19,Brooklyn,20,false,Approached the crowd; they complied with instructions,Bench/sitting area
05/05/2020 01:55:46 PM,M052,M-05,Manhattan,12,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/05/2020 01:34:57 PM,X039,X-15,Bronx,40,false,Approached the crowd; they complied with instructions,Track/field area
05/05/2020 12:46:51 PM,B214-01,B-05,Brooklyn,50,true,Approached the crowd; they ignored the employee,Adult fitness equipment
05/05/2020 12:25:46 PM,Q099-20,Q-15,Queens,5,true,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/05/2020 09:40:26 AM,M011,M-04,Manhattan,3,false,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/04/2020 05:41:47 PM,Q108,Q-13,Queens,20,true,Approached the crowd; they ignored the employee,Skate Park
05/04/2020 01:34:39 PM,Q302,Q-05,Queens,15,true,Did not approach the crowd; the crowd remains,Playground
05/04/2020 01:06:17 PM,Q099-ZN15,Q-15,Queens,45,false,Did not approach the crowd; the crowd remains,Soccer field
05/04/2020 11:58:53 AM,Q004,Q-01,Queens,200,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
